datetime,forecast_mw,lower_bound_mw,upper_bound_mw
2024-07-01 00:00:00,5664.16,5392.74,5935.59
2024-07-01 01:00:00,6004.67,5733.24,6276.09
2024-07-01 02:00:00,6162.97,5891.55,6434.4
2024-07-01 03:00:00,6125.03,5853.6,6396.45
2024-07-01 04:00:00,6023.52,5752.1,6294.95
2024-07-01 05:00:00,5864.53,5593.1,6135.95
2024-07-01 06:00:00,5806.74,5535.31,6078.16
2024-07-01 07:00:00,5757.56,5486.14,6028.99
2024-07-01 08:00:00,5966.44,5695.01,6237.86
2024-07-01 09:00:00,6482.39,6210.97,6753.82
2024-07-01 10:00:00,6658.47,6387.05,6929.9
2024-07-01 11:00:00,6990.79,6719.37,7262.22
2024-07-01 12:00:00,7382.23,7110.8,7653.65
2024-07-01 13:00:00,7559.16,7287.74,7830.59
2024-07-01 14:00:00,7580.81,7309.39,7852.24
2024-07-01 15:00:00,7790.17,7518.75,8061.6
2024-07-01 16:00:00,7796.18,7524.75,8067.6
2024-07-01 17:00:00,7593.8,7322.37,7865.22
2024-07-01 18:00:00,6984.88,6713.45,7256.3
2024-07-01 19:00:00,6421.64,6150.21,6693.06
2024-07-01 20:00:00,6131.3,5859.87,6402.72
2024-07-01 21:00:00,5864.5,5593.08,6135.93
2024-07-01 22:00:00,5747.96,5476.54,6019.39
2024-07-01 23:00:00,5359.52,5088.1,5630.95
2024-07-02 00:00:00,5691.9,5420.47,5963.32
2024-07-02 01:00:00,5948.5,5677.08,6219.93
2024-07-02 02:00:00,6162.03,5890.61,6433.46
2024-07-02 03:00:00,6210.03,5938.6,6481.45
2024-07-02 04:00:00,6068.97,5797.54,6340.39
2024-07-02 05:00:00,5868.58,5597.15,6140.0
2024-07-02 06:00:00,5695.9,5424.47,5967.32
2024-07-02 07:00:00,5843.16,5571.73,6114.58
2024-07-02 08:00:00,6014.93,5743.5,6286.35
2024-07-02 09:00:00,6436.52,6165.1,6707.95
2024-07-02 10:00:00,6584.76,6313.34,6856.19
2024-07-02 11:00:00,7023.74,6752.32,7295.17
2024-07-02 12:00:00,7288.74,7017.32,7560.17
2024-07-02 13:00:00,7426.92,7155.49,7698.34
2024-07-02 14:00:00,7738.15,7466.72,8009.57
2024-07-02 15:00:00,7765.7,7494.28,8037.13
2024-07-02 16:00:00,7692.04,7420.61,7963.46
2024-07-02 17:00:00,7371.42,7100.0,7642.85
2024-07-02 18:00:00,6978.09,6706.67,7249.52
2024-07-02 19:00:00,6509.14,6237.71,6780.56
2024-07-02 20:00:00,6192.89,5921.47,6464.32
2024-07-02 21:00:00,5885.07,5613.65,6156.5
2024-07-02 22:00:00,5764.64,5493.22,6036.07
2024-07-02 23:00:00,5390.36,5118.93,5661.78
