forecast_mw,lower_bound_80,upper_bound_80,lower_bound_90,upper_bound_90,lower_bound_95,upper_bound_95,uncertainty_sigma_mw,datetime,day_of_week,is_weekend,is_holiday,temp_c,relative_humidity,weather_source,total_daily_gwh
7869.38,7724.83,8013.93,7683.91,8054.86,7648.39,8090.38,112.75,2024-07-01,Monday,0,0,36.626666666666665,57.940416666666664,climatology,188.87
7812.38,7665.86,7958.9,7624.37,8000.39,7588.37,8036.39,114.29,2024-07-02,Tuesday,0,0,36.52,58.07458333333333,climatology,187.5
7784.6,7636.46,7932.74,7594.51,7974.69,7558.11,8011.08,115.55,2024-07-03,Wednesday,0,0,36.41,58.21125,climatology,186.83
7781.5,7631.93,7931.06,7589.58,7973.41,7552.84,8010.15,116.66,2024-07-04,Thursday,0,0,36.2975,58.35125,climatology,186.76
7703.02,7552.17,7853.87,7509.45,7896.58,7472.39,7933.65,117.67,2024-07-05,Friday,0,0,36.1825,58.49541666666667,climatology,184.87
7175.9,7023.86,7327.94,6980.81,7370.99,6943.45,7408.35,118.6,2024-07-06,Saturday,1,0,36.06333333333333,58.643750000000004,climatology,172.22
7125.91,6972.75,7279.07,6929.39,7322.44,6891.75,7360.07,119.47,2024-07-07,Sunday,1,0,35.943333333333335,58.79458333333333,climatology,171.02
7650.79,7496.58,7805.0,7452.91,7848.67,7415.02,7886.56,120.29,2024-07-08,Monday,0,0,35.82,58.94875,climatology,183.62
7614.18,7458.97,7769.39,7415.02,7813.34,7376.88,7851.48,121.07,2024-07-09,Tuesday,0,0,35.693333333333335,59.106249999999996,climatology,182.74
7567.09,7410.92,7723.26,7366.7,7767.48,7328.32,7805.85,121.82,2024-07-10,Wednesday,0,0,35.56333333333333,59.26625000000001,climatology,181.61
7526.58,7369.49,7683.67,7325.01,7728.15,7286.41,7766.75,122.54,2024-07-11,Thursday,0,0,35.43333333333333,59.43125,climatology,180.64
7461.35,7303.37,7619.32,7258.64,7664.05,7219.83,7702.87,123.23,2024-07-12,Friday,0,0,35.3,59.598749999999995,climatology,179.07
6951.62,6792.79,7110.45,6747.82,7155.42,6708.79,7194.45,123.89,2024-07-13,Saturday,1,0,35.163333333333334,59.768750000000004,climatology,166.84
6896.09,6736.44,7055.75,6691.23,7100.96,6652.0,7140.18,124.54,2024-07-14,Sunday,1,0,35.02333333333333,59.94375,climatology,165.51
7385.29,7224.83,7545.75,7179.39,7591.18,7139.97,7630.61,125.16,2024-07-15,Monday,0,0,34.88333333333333,60.11875,climatology,177.25
7357.34,7196.1,7518.58,7150.45,7564.24,7110.83,7603.86,125.77,2024-07-16,Tuesday,0,0,34.74,60.298750000000005,climatology,176.58
7322.17,7160.17,7484.17,7114.29,7530.04,7074.49,7569.84,126.37,2024-07-17,Wednesday,0,0,34.593333333333334,60.48041666666666,climatology,175.73
7294.13,7131.39,7456.87,7085.31,7502.95,7045.32,7542.94,126.94,2024-07-18,Thursday,0,0,34.446666666666665,60.665416666666665,climatology,175.06
7234.38,7070.91,7397.84,7024.63,7444.13,6984.46,7484.29,127.51,2024-07-19,Friday,0,0,34.29666666666667,60.85458333333333,climatology,173.63
6725.88,6561.71,6890.06,6515.23,6936.54,6474.89,6976.88,128.06,2024-07-20,Saturday,1,0,34.14333333333334,61.04458333333333,climatology,161.42
6673.42,6508.56,6838.28,6461.87,6884.96,6421.37,6925.47,128.6,2024-07-21,Sunday,1,0,33.98916666666667,61.23791666666667,climatology,160.16
7143.76,6978.22,7309.3,6931.34,7356.17,6890.67,7396.85,129.13,2024-07-22,Monday,0,0,33.83166666666666,61.434583333333336,climatology,171.45
7114.88,6948.67,7281.09,6901.61,7328.15,6860.78,7368.99,129.65,2024-07-23,Tuesday,0,0,33.6725,61.632083333333334,climatology,170.76
7077.35,6910.5,7244.21,6863.25,7291.46,6822.25,7332.46,130.15,2024-07-24,Wednesday,0,0,33.51166666666666,61.83375,climatology,169.86
7046.76,6879.26,7214.26,6831.84,7261.68,6790.68,7302.84,130.65,2024-07-25,Thursday,0,0,33.34916666666667,62.036249999999995,climatology,169.12
6987.53,6819.41,7155.66,6771.8,7203.26,6730.49,7244.57,131.14,2024-07-26,Friday,0,0,33.18333333333333,62.24375,climatology,167.7
6481.73,6312.99,6650.47,6265.21,6698.25,6223.75,6739.72,131.62,2024-07-27,Saturday,1,0,33.01833333333334,62.451249999999995,climatology,155.56
6429.5,6260.15,6598.85,6212.2,6646.8,6170.59,6688.42,132.1,2024-07-28,Sunday,1,0,32.84916666666667,62.661249999999995,climatology,154.31
6897.7,6727.75,7067.65,6679.63,7115.77,6637.87,7157.53,132.57,2024-07-29,Monday,0,0,32.67916666666667,62.874583333333334,climatology,165.54
6881.48,6710.94,7052.02,6662.65,7100.3,6620.75,7142.21,133.02,2024-07-30,Tuesday,0,0,32.5075,63.088750000000005,climatology,165.16
