datetime,demand_mw,temp_c,relative_humidity
2021-01-01 00:00:00,4728.95,7.3,86
2021-01-01 01:00:00,4811.7,8.1,82
2021-01-01 02:00:00,5185.98,6.5,86
2021-01-01 03:00:00,5320.7,7.6,81
2021-01-01 04:00:00,5216.48,6.1,86
2021-01-01 05:00:00,5291.67,3.9,96
2021-01-01 06:00:00,5414.7,3.5,99
2021-01-01 07:00:00,5174.13,3.8,99
2021-01-01 08:00:00,4855.84,5.2,97
2021-01-01 09:00:00,4789.17,8.2,88
2021-01-01 10:00:00,4570.82,11.5,77
2021-01-01 11:00:00,4595.7,14.4,60
2021-01-01 12:00:00,4829.35,16.0,53
2021-01-01 13:00:00,4760.52,17.2,48
2021-01-01 14:00:00,4899.59,17.9,45
2021-01-01 15:00:00,5045.05,18.1,44
2021-01-01 16:00:00,4875.29,17.5,47
2021-01-01 17:00:00,4951.85,12.9,64
2021-01-01 18:00:00,4576.24,12.0,69
2021-01-01 19:00:00,4243.66,11.9,71
2021-01-01 20:00:00,4427.25,10.9,77
2021-01-01 21:00:00,4114.41,10.8,78
2021-01-01 22:00:00,4173.17,10.5,79
2021-01-01 23:00:00,4122.42,10.3,79
2021-01-02 00:00:00,3917.87,10.3,79
2021-01-02 01:00:00,4200.81,10.4,78
2021-01-02 02:00:00,4208.1,10.7,75
2021-01-02 03:00:00,4522.18,10.2,76
2021-01-02 04:00:00,4413.59,10.2,77
2021-01-02 05:00:00,4406.73,9.7,81
2021-01-02 06:00:00,4229.08,10.0,79
2021-01-02 07:00:00,4413.29,9.8,82
2021-01-02 08:00:00,4050.06,10.9,79
2021-01-02 09:00:00,3822.12,12.9,69
2021-01-02 10:00:00,4047.99,15.0,60
2021-01-02 11:00:00,3944.19,16.1,59
2021-01-02 12:00:00,4326.0,16.4,65
2021-01-02 13:00:00,4255.58,16.7,69
2021-01-02 14:00:00,4447.83,17.4,67
2021-01-02 15:00:00,4636.77,18.3,62
2021-01-02 16:00:00,4586.07,18.5,62
2021-01-02 17:00:00,4299.28,17.3,63
2021-01-02 18:00:00,3987.22,16.1,65
2021-01-02 19:00:00,3706.3,15.4,68
2021-01-02 20:00:00,3375.27,14.7,72
2021-01-02 21:00:00,3364.18,14.4,77
2021-01-02 22:00:00,3420.12,14.0,84
2021-01-02 23:00:00,3738.38,13.6,89
2021-01-03 00:00:00,3847.59,13.5,91
2021-01-03 01:00:00,3820.35,13.2,92
2021-01-03 02:00:00,4252.39,13.1,93
2021-01-03 03:00:00,4289.64,12.7,94
2021-01-03 04:00:00,4284.77,12.3,93
2021-01-03 05:00:00,4365.37,12.3,92
2021-01-03 06:00:00,4293.36,12.3,91
2021-01-03 07:00:00,4137.49,12.7,91
2021-01-03 08:00:00,3794.5,13.8,89
2021-01-03 09:00:00,3799.33,15.3,84
2021-01-03 10:00:00,3954.66,17.1,75
2021-01-03 11:00:00,4208.38,19.2,67
2021-01-03 12:00:00,4244.07,20.4,64
2021-01-03 13:00:00,4469.09,21.0,62
2021-01-03 14:00:00,4475.08,20.9,65
2021-01-03 15:00:00,4470.23,20.7,65
2021-01-03 16:00:00,4595.58,20.1,69
2021-01-03 17:00:00,4442.09,17.4,83
2021-01-03 18:00:00,3993.08,17.3,83
2021-01-03 19:00:00,3844.53,17.0,85
2021-01-03 20:00:00,3548.76,16.2,89
2021-01-03 21:00:00,3323.91,15.6,92
2021-01-03 22:00:00,3450.63,15.6,92
2021-01-03 23:00:00,3723.42,15.2,93
2021-01-04 00:00:00,4241.14,14.8,93
2021-01-04 01:00:00,4652.3,14.6,93
2021-01-04 02:00:00,4331.1,14.5,94
2021-01-04 03:00:00,4859.31,14.2,95
2021-01-04 04:00:00,4765.77,14.5,95
2021-01-04 05:00:00,4698.65,13.4,98
2021-01-04 06:00:00,4643.85,13.0,98
2021-01-04 07:00:00,4266.79,13.1,98
2021-01-04 08:00:00,4345.48,14.3,96
2021-01-04 09:00:00,4376.06,15.4,92
2021-01-04 10:00:00,4592.89,16.5,89
2021-01-04 11:00:00,4529.75,18.2,85
2021-01-04 12:00:00,4705.17,20.5,73
2021-01-04 13:00:00,4939.19,22.2,64
2021-01-04 14:00:00,5231.11,22.3,62
2021-01-04 15:00:00,5153.85,21.2,69
2021-01-04 16:00:00,4935.14,19.8,80
2021-01-04 17:00:00,4841.56,18.5,86
2021-01-04 18:00:00,4514.0,17.1,92
2021-01-04 19:00:00,4340.97,16.4,94
2021-01-04 20:00:00,3921.75,16.7,93
2021-01-04 21:00:00,3850.98,16.8,91
2021-01-04 22:00:00,3849.18,16.4,91
2021-01-04 23:00:00,3839.29,15.9,93
2021-01-05 00:00:00,4249.7,15.6,93
2021-01-05 01:00:00,4459.32,15.5,92
2021-01-05 02:00:00,4605.01,15.5,90
2021-01-05 03:00:00,4685.11,15.3,90
2021-01-05 04:00:00,4568.42,14.9,90
2021-01-05 05:00:00,4601.29,15.2,89
2021-01-05 06:00:00,4509.49,14.7,91
2021-01-05 07:00:00,4364.47,14.0,93
2021-01-05 08:00:00,4292.02,15.8,89
2021-01-05 09:00:00,4363.36,16.8,85
2021-01-05 10:00:00,4642.51,18.2,78
2021-01-05 11:00:00,4613.52,19.0,77
2021-01-05 12:00:00,4833.73,20.0,74
2021-01-05 13:00:00,4983.69,20.9,69
2021-01-05 14:00:00,4878.84,21.7,64
2021-01-05 15:00:00,5111.85,21.8,66
2021-01-05 16:00:00,5006.56,20.9,73
2021-01-05 17:00:00,5076.18,19.3,78
2021-01-05 18:00:00,4479.89,18.5,82
2021-01-05 19:00:00,4261.54,17.9,85
2021-01-05 20:00:00,4002.45,17.6,88
2021-01-05 21:00:00,3750.68,17.1,91
2021-01-05 22:00:00,4034.0,17.3,90
2021-01-05 23:00:00,4103.56,17.1,92
2021-01-06 00:00:00,4298.06,16.7,94
2021-01-06 01:00:00,4304.25,16.8,94
2021-01-06 02:00:00,4758.12,16.2,95
2021-01-06 03:00:00,4525.06,15.9,95
2021-01-06 04:00:00,4770.07,16.1,95
2021-01-06 05:00:00,4896.72,15.7,96
2021-01-06 06:00:00,4419.42,15.0,97
2021-01-06 07:00:00,4339.78,15.2,96
2021-01-06 08:00:00,4318.89,16.1,93
2021-01-06 09:00:00,4255.08,17.5,89
2021-01-06 10:00:00,4230.71,18.8,82
2021-01-06 11:00:00,4601.42,20.1,75
2021-01-06 12:00:00,4675.97,21.1,68
2021-01-06 13:00:00,5050.08,21.7,64
2021-01-06 14:00:00,4999.38,21.8,63
2021-01-06 15:00:00,5301.65,21.6,64
2021-01-06 16:00:00,4905.97,21.0,68
2021-01-06 17:00:00,4742.57,18.5,81
2021-01-06 18:00:00,4601.22,17.0,89
2021-01-06 19:00:00,4078.28,16.4,92
2021-01-06 20:00:00,4034.54,16.0,93
2021-01-06 21:00:00,4060.06,15.6,94
2021-01-06 22:00:00,3735.43,15.1,95
2021-01-06 23:00:00,4079.67,14.8,96
2021-01-07 00:00:00,4296.46,14.4,97
2021-01-07 01:00:00,4588.23,14.0,97
2021-01-07 02:00:00,4537.07,13.7,98
2021-01-07 03:00:00,4628.34,13.7,99
2021-01-07 04:00:00,4853.06,13.8,98
2021-01-07 05:00:00,4777.15,13.3,98
2021-01-07 06:00:00,4644.14,13.4,98
2021-01-07 07:00:00,4548.75,13.1,98
2021-01-07 08:00:00,4306.36,14.0,96
2021-01-07 09:00:00,4379.0,15.0,91
2021-01-07 10:00:00,4452.59,16.1,85
2021-01-07 11:00:00,4508.1,17.3,78
2021-01-07 12:00:00,5027.97,18.5,70
2021-01-07 13:00:00,5050.74,19.2,65
2021-01-07 14:00:00,4967.39,19.5,61
2021-01-07 15:00:00,5195.07,19.4,60
2021-01-07 16:00:00,4883.62,18.7,62
2021-01-07 17:00:00,4876.3,16.1,77
2021-01-07 18:00:00,4691.21,14.7,84
2021-01-07 19:00:00,4228.2,13.6,86
2021-01-07 20:00:00,4275.48,12.6,86
2021-01-07 21:00:00,4120.91,12.1,84
2021-01-07 22:00:00,4198.24,11.7,87
2021-01-07 23:00:00,4477.87,11.1,92
2021-01-08 00:00:00,4463.46,10.2,95
2021-01-08 01:00:00,4648.89,9.6,96
2021-01-08 02:00:00,4815.1,9.5,96
2021-01-08 03:00:00,4949.81,9.1,97
2021-01-08 04:00:00,5053.21,9.0,98
2021-01-08 05:00:00,4992.51,9.6,99
2021-01-08 06:00:00,4850.31,9.8,99
2021-01-08 07:00:00,4740.42,10.7,99
2021-01-08 08:00:00,4516.86,11.6,94
2021-01-08 09:00:00,4643.18,12.6,89
2021-01-08 10:00:00,4425.53,14.9,77
2021-01-08 11:00:00,4920.87,17.1,64
2021-01-08 12:00:00,4879.78,18.2,61
2021-01-08 13:00:00,4891.64,18.7,62
2021-01-08 14:00:00,4982.46,19.0,62
2021-01-08 15:00:00,5174.81,19.1,62
2021-01-08 16:00:00,4974.4,18.7,65
2021-01-08 17:00:00,4899.0,15.1,82
2021-01-08 18:00:00,4605.2,14.8,84
2021-01-08 19:00:00,4284.66,14.3,87
2021-01-08 20:00:00,4011.98,13.5,91
2021-01-08 21:00:00,3852.35,12.8,94
2021-01-08 22:00:00,4002.54,12.5,95
2021-01-08 23:00:00,4297.18,12.1,96
2021-01-09 00:00:00,3920.99,11.9,96
2021-01-09 01:00:00,3961.64,11.8,96
2021-01-09 02:00:00,4308.32,11.8,95
2021-01-09 03:00:00,4440.68,11.7,95
2021-01-09 04:00:00,4308.24,11.5,95
2021-01-09 05:00:00,4370.12,11.3,95
2021-01-09 06:00:00,4247.82,11.1,93
2021-01-09 07:00:00,3964.15,11.4,88
2021-01-09 08:00:00,4014.54,12.4,81
2021-01-09 09:00:00,3955.53,14.2,72
2021-01-09 10:00:00,4048.64,16.2,66
2021-01-09 11:00:00,4221.53,17.8,63
2021-01-09 12:00:00,4140.0,19.0,62
2021-01-09 13:00:00,4382.59,19.6,62
2021-01-09 14:00:00,4673.4,20.0,62
2021-01-09 15:00:00,4679.19,19.9,63
2021-01-09 16:00:00,4563.65,18.9,67
2021-01-09 17:00:00,4745.43,17.4,78
2021-01-09 18:00:00,4073.99,16.7,81
2021-01-09 19:00:00,3875.79,15.6,86
2021-01-09 20:00:00,3638.84,15.5,85
2021-01-09 21:00:00,3490.56,15.4,84
2021-01-09 22:00:00,3413.95,14.6,86
2021-01-09 23:00:00,3712.01,13.5,88
2021-01-10 00:00:00,3764.9,12.6,89
2021-01-10 01:00:00,4083.34,11.8,89
2021-01-10 02:00:00,4258.22,11.3,88
2021-01-10 03:00:00,4439.08,11.1,86
2021-01-10 04:00:00,4750.62,10.5,86
2021-01-10 05:00:00,4234.85,9.5,87
2021-01-10 06:00:00,4412.85,9.6,86
2021-01-10 07:00:00,4032.99,9.3,87
2021-01-10 08:00:00,4047.31,10.1,84
2021-01-10 09:00:00,4144.55,11.8,75
2021-01-10 10:00:00,,13.8,66
2021-01-10 11:00:00,3981.61,15.5,60
2021-01-10 12:00:00,4220.12,16.8,54
2021-01-10 13:00:00,4577.31,17.5,48
2021-01-10 14:00:00,4524.58,17.7,46
2021-01-10 15:00:00,4644.14,17.4,48
2021-01-10 16:00:00,4507.93,16.5,52
2021-01-10 17:00:00,4325.94,13.2,65
2021-01-10 18:00:00,4464.86,11.7,70
2021-01-10 19:00:00,4057.65,10.8,73
2021-01-10 20:00:00,3567.24,10.0,76
2021-01-10 21:00:00,3747.23,9.5,81
2021-01-10 22:00:00,3682.14,9.0,88
2021-01-10 23:00:00,3998.99,8.7,91
2021-01-11 00:00:00,4510.23,8.4,92
2021-01-11 01:00:00,4814.45,8.2,92
2021-01-11 02:00:00,5084.29,7.9,93
2021-01-11 03:00:00,5248.09,7.6,94
2021-01-11 04:00:00,5028.09,7.3,94
2021-01-11 05:00:00,5032.18,7.7,94
2021-01-11 06:00:00,4880.2,7.9,93
2021-01-11 07:00:00,4742.86,7.8,92
2021-01-11 08:00:00,4864.97,9.3,86
2021-01-11 09:00:00,4580.01,11.5,79
2021-01-11 10:00:00,4378.78,13.4,73
2021-01-11 11:00:00,4741.47,15.0,67
2021-01-11 12:00:00,5061.24,16.3,63
2021-01-11 13:00:00,5120.28,17.2,61
2021-01-11 14:00:00,4930.52,17.8,58
2021-01-11 15:00:00,5060.68,17.9,58
2021-01-11 16:00:00,5155.12,17.3,60
2021-01-11 17:00:00,4784.69,13.9,70
2021-01-11 18:00:00,4696.04,12.9,75
2021-01-11 19:00:00,4501.27,12.1,78
2021-01-11 20:00:00,4129.05,11.2,82
2021-01-11 21:00:00,4158.25,10.5,85
2021-01-11 22:00:00,3818.19,9.9,86
2021-01-11 23:00:00,4231.08,9.4,87
2021-01-12 00:00:00,4538.15,9.0,89
2021-01-12 01:00:00,4653.9,8.6,90
2021-01-12 02:00:00,5194.81,8.3,91
2021-01-12 03:00:00,4947.62,8.0,91
2021-01-12 04:00:00,5094.17,7.7,92
2021-01-12 05:00:00,5140.42,6.9,94
2021-01-12 06:00:00,5175.36,6.9,94
2021-01-12 07:00:00,4714.31,6.8,94
2021-01-12 08:00:00,4843.04,8.5,87
2021-01-12 09:00:00,4550.4,11.2,77
2021-01-12 10:00:00,4402.84,13.6,70
2021-01-12 11:00:00,4667.64,15.5,64
2021-01-12 12:00:00,4831.09,16.9,59
2021-01-12 13:00:00,4924.98,17.8,55
2021-01-12 14:00:00,5121.85,18.2,53
2021-01-12 15:00:00,5073.18,18.2,52
2021-01-12 16:00:00,5017.34,17.6,55
2021-01-12 17:00:00,4949.69,13.9,66
2021-01-12 18:00:00,4871.39,12.2,74
2021-01-12 19:00:00,4305.38,11.3,77
2021-01-12 20:00:00,4549.53,10.3,81
2021-01-12 21:00:00,3985.76,9.6,83
2021-01-12 22:00:00,4244.6,9.0,84
2021-01-12 23:00:00,4487.38,8.4,87
2021-01-13 00:00:00,4672.01,7.9,88
2021-01-13 01:00:00,4793.03,7.6,89
2021-01-13 02:00:00,5038.54,7.3,90
2021-01-13 03:00:00,5125.14,7.0,90
